"Candidate identification","Candidate name","Incumbent challenger status","Party affiliation","Total receipts","Total individual contributions","Candidate state","Candidate district","Special election status","Primary election status","Runoff election status","General election status"
"H8AK00132","SHEIN, DIMITRI","C","DEM",0,0,"AK","00",NA,NA,NA,NA
"H6AK00045","YOUNG, DONALD E","I","REP",1950289.86,963416.04,"AK","00",NA,NA,NA,NA
"H8AK01031","NELSON, THOMAS JOHN","C","REP",0,0,"AK","00",NA,NA,NA,NA
"H8AK00140","GALVIN, ALYSE","C","IND",5253251.54,4796137.47,"AK","00",NA,NA,NA,NA
"H0AL01097","AVERHART, JAMES","O","DEM",80094.95,50849.95,"AL","01",NA,NA,NA,NA
"H0AL01105","GARDNER, KIANI A","O","DEM",118661.85,92896.88,"AL","01",NA,NA,NA,NA
"H0AL01139","COLLINS, FREDERICK G. RICK'","O","DEM",62935.42,5917.12,"AL","01",NA,NA,NA,NA
"H0AL01055","CARL, JERRY LEE, JR","O","REP",2344516.53,1044195.95,"AL","01",NA,NA,NA,NA
"H0AL01063","LAMBERT, DOUGLAS WESTLEY III","O","REP",182564.96,20760,"AL","01",NA,NA,NA,NA
"H0AL01071","PRINGLE, CHRISTOPHER PAUL","O","REP",491715.7,464115.7,"AL","01",NA,NA,NA,NA
"H0AL01089","HIGHTOWER, BILL","O","REP",1323944.09,1268756.68,"AL","01",NA,NA,NA,NA
"H0AL01121","CASTORANI, JOHN","O","REP",26809.68,11650,"AL","01",NA,NA,NA,NA
"H4AL01123","BYRNE, BRADLEY ROBERTS","I","REP",544643.34,60571,"AL","01",NA,NA,NA,NA
"H0AL02202","HARVEY-HALL, PHYLLIS","O","DEM",57722.77,42411.95,"AL","02",NA,NA,NA,NA
"H6AL02167","MATHIS, NATHAN","O","DEM",12230,12230,"AL","02",NA,NA,NA,NA
"H0AL02087","ROBY, MARTHA","I","REP",216297.5,53800,"AL","02",NA,NA,NA,NA
"H0AL02137","DISMUKES, WILL","O","REP",15043,15043,"AL","02",NA,NA,NA,NA
"H0AL02145","COLEMAN, JEFF","O","REP",2615977.24,1241814.56,"AL","02",NA,NA,NA,NA
"H0AL02152","KING, TROY","O","REP",286727.66,272113.4,"AL","02",NA,NA,NA,NA
"H0AL02160","BROWN, THOMAS WILLIAM JR.","O","REP",22950,5000,"AL","02",NA,NA,NA,NA
"H0AL02178","TAYLOR, JESSICA","O","REP",476139.02,439304.12,"AL","02",NA,NA,NA,NA
"H0AL02194","HASDORFF, TERRI","O","REP",82156,82156,"AL","02",NA,NA,NA,NA
"H6AL02159","ROGERS, ROBERT L","O","REP",29593.11,254.32,"AL","02",NA,NA,NA,NA
"H8AL02080","LOVE, JAY K","O","REP",0,0,"AL","02",NA,NA,NA,NA
"H8AL02171","MOORE, FELIX BARRY","O","REP",837715.85,408536.2,"AL","02",NA,NA,NA,NA
"H8AL02189","AMASON, THOMAS MARRION III","C","REP",0,0,"AL","02",NA,NA,NA,NA
"H8AL03039","TURNHAM, JOSEPH R","C","DEM",0,0,"AL","03",NA,NA,NA,NA
"H8AL03054","HAGAN, MALLORY","C","DEM",4891.75,1320,"AL","03",NA,NA,NA,NA
"H8AL03062","WINFREY, ADIA","C","DEM",50523.2,46912.89,"AL","03",NA,NA,NA,NA
"H2AL03032","ROGERS, MICHAEL","I","REP",1202888.07,443369,"AL","03",NA,NA,NA,NA
"H8AL04086","NEIGHBORS, RICKY","C","DEM",48942.68,33021.97,"AL","04",NA,NA,NA,NA
"H6AL04098","ADERHOLT, ROBERT B. REP.","I","REP",1283402.11,541121.78,"AL","04",NA,NA,NA,NA
"H8AL05190","JOFFRION, PETER S.","O","DEM",171.51,0,"AL","05",NA,NA,NA,NA
"H0AL05163","BROOKS, MO","I","REP",669026.33,417354.83,"AL","05",NA,NA,NA,NA
"H0AL05205","LEWIS, CHRIS","C","REP",167746.86,122467.86,"AL","05",NA,NA,NA,NA
"H8AL05208","HINCHMAN, ROBERT CLAYTON MR","O","GOP",1033.08,0,"AL","05",NA,NA,NA,NA
"H4AL06098","PALMER, GARY","I","REP",919678.33,469170,"AL","06",NA,NA,NA,NA
"H0AL07086","SEWELL, TERRI A.","I","DEM",2171039.72,407562.27,"AL","07",NA,NA,NA,NA
"H6AL07166","WALTERS, EDDISON T","O","DEM",0,0,"AL","07",NA,NA,NA,NA
"H0AR01109","CAUSEY, CHAD","O","DEM",0,0,"AR","01",NA,NA,NA,NA
"H0AR01083","CRAWFORD, ERIC ALAN RICK","I","REP",966801.25,405293.4,"AR","01",NA,NA,NA,NA
"H0AR01125","SMITH, PRINCELLA D","O","REP",0,0,"AR","01",NA,NA,NA,NA
"H0AR02206","ELLIOTT, JOYCE ANN SENATOR","C","DEM",3543886.52,3146457.55,"AR","02",NA,NA,NA,NA
"H8AR02142","COMBS, GWENDOLYNN MILLEN MRS.","C","DEM",0,0,"AR","02",NA,NA,NA,NA
"H8AR02159","TUCKER, EVERETT CLARKE IV","C","DEM",99.99,0,"AR","02",NA,NA,NA,NA
"H4AR02141","HILL, JAMES FRENCH","I","REP",3423234.37,1700705.98,"AR","02",NA,NA,NA,NA
"H0AR03030","WHITAKER, DAVID JEFFREY","O","DEM",0,0,"AR","03",NA,NA,NA,NA
"H0AR03105","WILLIAMS, CELESTE SARENE","C","DEM",356059.69,339611.09,"AR","03",NA,NA,NA,NA
"H8AR03074","MAHONY, JOSH","C","DEM",2660,0,"AR","03",NA,NA,NA,NA
"H0AR03055","WOMACK, STEVE","I","REP",1128158.85,548980,"AR","03",NA,NA,NA,NA
"H2AR03143","HENDREN, JAMES PAUL","C","REP",0.55,0,"AR","03",NA,NA,NA,NA
"H0AR02198","REDMOND, RAYMOND DALLAS JR.","C","DEM",20,0,"AR","04",NA,NA,NA,NA
