"Candidate identification","Candidate name","Incumbent challenger status","Party affiliation","Total receipts","Total individual contributions","Candidate state","Candidate district","Special election status","Primary election status","Runoff election status","General election status"
"H2AK00200","CONSTANT, CHRISTOPHER","C","DEM",164637.9,158023.05,"AK","00",NA,NA,NA,NA
"H2AK01158","PELTOLA, MARY","I","DEM",7751293.39,7149826.02,"AK","00",NA,NA,NA,NA
"H2AK01240","WOOL, ADAM L","O","DEM",16217.07,15117,"AK","00",NA,NA,NA,NA
"H2AK00218","REVAK, JOSHUA CARL","O","REP",121841,116666,"AK","00",NA,NA,NA,NA
"H2AK00226","PALIN, SARAH","O","REP",1971160.93,1770697.9,"AK","00",NA,NA,NA,NA
"H2AK01059","PURHAM, RANDY","C","REP",1548.51,1548.51,"AK","00",NA,NA,NA,NA
"H2AK01083","BEGICH, NICHOLAS III","C","REP",1640060.27,929235.35,"AK","00",NA,NA,NA,NA
"H2AK01133","COGHILL, JOHN B JR.","O","REP",26425,26425,"AK","00",NA,NA,NA,NA
"H2AK01174","SWEENEY, TARA M","O","REP",332195.05,308314.72,"AK","00",NA,NA,NA,NA
"H6AK00045","YOUNG, DONALD E","I","REP",667302.17,203591.43,"AK","00",NA,NA,NA,NA
"H2AK01075","BRELSFORD, GREGG BOWYER MR.","C","IND",43826.69,13610,"AK","00",NA,NA,NA,NA
"H2AK01166","GROSS, ALAN","O","IND",882591.9,691155.94,"AK","00",NA,NA,NA,NA
"H8AK00140","GALVIN, ALYSE","C","IND",28303.62,0,"AK","00",NA,NA,NA,NA
"H2AK01216","BYE, CHRIS","O","LIB",8018.91,4198.61,"AK","00",NA,NA,NA,NA
"H2AK01208","METTLER, SHERRY","O","NNE",8350,1550,"AK","00",NA,NA,NA,NA
"H2AK01190","LOWENFELS, JEFF","O","NON",153418.08,53393.08,"AK","00",NA,NA,NA,NA
"H0AL01097","AVERHART, JAMES","O","DEM",0,0,"AL","01",NA,NA,NA,NA
"H0AL01055","CARL, JERRY LEE, JR","I","REP",1313718.57,532388.69,"AL","01",NA,NA,NA,NA
"H0AL01063","LAMBERT, DOUGLAS WESTLEY III","O","REP",0,0,"AL","01",NA,NA,NA,NA
"H0AL02202","HARVEY-HALL, PHYLLIS","C","DEM",60440.24,48936.06,"AL","02",NA,NA,NA,NA
"H2AL02166","PATEL, VIMAL","C","DEM",61099.81,31023.81,"AL","02",NA,NA,NA,NA
"H0AL02087","ROBY, MARTHA","I","REP",2500,0,"AL","02",NA,NA,NA,NA
"H0AL02145","COLEMAN, JEFF","O","REP",0,0,"AL","02",NA,NA,NA,NA
"H0AL02152","KING, TROY","O","REP",0,0,"AL","02",NA,NA,NA,NA
"H2AL02182","COLEMAN, JEFF","C","REP",362073.05,0,"AL","02",NA,NA,NA,NA
"H8AL02171","MOORE, FELIX BARRY","I","REP",891776.46,524421.35,"AL","02",NA,NA,NA,NA
"H2AL02190","SMITH, JONATHAN","C","LIB",14276.09,12617.2,"AL","02",NA,NA,NA,NA
"H2AL03131","VEASEY, KAREN LIN MRS","C","DEM",9968,4413,"AL","03",NA,NA,NA,NA
"H8AL03062","WINFREY, ADIA","C","DEM",0,0,"AL","03",NA,NA,NA,NA
"H2AL03032","ROGERS, MICHAEL","I","REP",2262995.22,1170064.81,"AL","03",NA,NA,NA,NA
"H2AL03123","JOINER, MICHAEL T","C","REP",500,500,"AL","03",NA,NA,NA,NA
"H2AL03107","BELL, DOUGLAS A.","C","IND",7680.83,3104.87,"AL","03",NA,NA,NA,NA
"H8AL04086","NEIGHBORS, RICKY","C","DEM",22648.3,22498.3,"AL","04",NA,NA,NA,NA
"H6AL04098","ADERHOLT, ROBERT B. REP.","I","REP",1540807.2,845700.98,"AL","04",NA,NA,NA,NA
"H2AL04105","COCHRAN, JOHN","C","LIB",6719.28,6619.28,"AL","04",NA,NA,NA,NA
"H2AL05177","WARNER-STANTON, KATHY L","O","DEM",85150,5150,"AL","05",NA,NA,NA,NA
"H0AL05163","BROOKS, MO","I","REP",3615102.95,3392131.66,"AL","05",NA,NA,NA,NA
"H0AL05205","LEWIS, CHRIS","C","REP",100,100,"AL","05",NA,NA,NA,NA
"H2AL05102","STRONG, DALE WHITNEY","C","REP",1994353.59,1393769.91,"AL","05",NA,NA,NA,NA
"H2AL05110","BLALOCK, KEVIN ANDREW","C","REP",51494.96,40757.82,"AL","05",NA,NA,NA,NA
"H2AL05128","WARDYNSKI, CASEY","O","REP",777338.34,595228.34,"AL","05",NA,NA,NA,NA
"H2AL05136","WRIGHT, HARRISON GAGE WOODARD","O","REP",811,10,"AL","05",NA,NA,NA,NA
"H2AL05169","ROBERTS, JOHN","O","REP",167173.32,119704.38,"AL","05",NA,NA,NA,NA
"H2AL05219","SANFORD, PAUL","O","REP",70308.97,58650.22,"AL","05",NA,NA,NA,NA
"H2AL05144","THOMPSON, CHARLES","O","AL",35028.56,10131.54,"AL","05",NA,NA,NA,NA
"H4AL06098","PALMER, GARY","I","REP",1278902.76,686961.84,"AL","06",NA,NA,NA,NA
"H0AL07086","SEWELL, TERRI A.","I","DEM",2359060.83,666127.08,"AL","07",NA,NA,NA,NA
"H6AL07166","WALTERS, EDDISON T","O","DEM",0,0,"AL","07",NA,NA,NA,NA
"H2AL07173","NICHOLS, BEATRICE JACKSON","C","REP",47728.98,46285.71,"AL","07",NA,NA,NA,NA
"H0AR01109","CAUSEY, CHAD","O","DEM",15000,0,"AR","01",NA,NA,NA,NA
"H2AR01113","HODGES, MONTE","C","DEM",66983.81,41983.81,"AR","01",NA,NA,NA,NA
"H0AR01083","CRAWFORD, ERIC ALAN RICK","I","REP",1087410.34,483520.34,"AR","01",NA,NA,NA,NA
"H0AR01125","SMITH, PRINCELLA D","O","REP",0,0,"AR","01",NA,NA,NA,NA
"H2AR01105","SMITH, BRANDT","C","REP",30450,28700,"AR","01",NA,NA,NA,NA
"H2AR01121","SHACKELFORD, JODY","C","REP",24483.04,150,"AR","01",NA,NA,NA,NA
"H0AR02206","ELLIOTT, JOYCE ANN SENATOR","C","DEM",122114.7,0,"AR","02",NA,NA,NA,NA
"H2AR02087","CARTWRIGHT, NICHOLAS","C","DEM",20244,20244,"AR","02",NA,NA,NA,NA
"H2AR02095","HATHAWAY, QUINTESSA DR.","C","DEM",10421.88,3454.93,"AR","02",NA,NA,NA,NA
"H8AR02142","COMBS, GWENDOLYNN MILLEN MRS.","C","DEM",0,0,"AR","02",NA,NA,NA,NA
"H2AR02103","REYNOLDS, CONRAD E","C","REP",127592.04,114040.98,"AR","02",NA,NA,NA,NA
"H2AR02111","POSTON, DAVID P","C","REP",1209.86,565,"AR","02",NA,NA,NA,NA
"H4AR02141","HILL, JAMES FRENCH","I","REP",3396282.37,1581068.73,"AR","02",NA,NA,NA,NA
"H0AR03030","WHITAKER, DAVID JEFFREY","O","DEM",0,0,"AR","03",NA,NA,NA,NA
