"Candidate identification","Candidate name","Incumbent challenger status","Party affiliation","Total receipts","Total individual contributions","Candidate state","Candidate district","Special election status","Primary election status","Runoff election status","General election status"
"H8AK00132","SHEIN, DIMITRI","C","DEM",209916.04,58188.98,"AK","00",NA,NA,NA,NA
"H6AK00045","YOUNG, DONALD E","I","REP",1234680.31,670374.33,"AK","00",NA,NA,NA,NA
"H8AK00116","LEDOUX, GABRIELLE R","C","REP",0,0,"AK","00",NA,NA,NA,NA
"H8AK01031","NELSON, THOMAS JOHN","C","REP",9288.48,7100.05,"AK","00",NA,NA,NA,NA
"H8AK00140","GALVIN, ALYSE","C","IND",1949643.68,1809591.38,"AK","00",NA,NA,NA,NA
"H6AK00235","LINDBECK, STEVE",NA,"DEM",33277.59,0,"AK",NA,NA,NA,NA,NA
"H8AL01066","KENNEDY, ROBERT JR.","C","DEM",166845.21,39095.21,"AL","01",NA,NA,NA,NA
"H8AL01082","MCCONNELL, LIZZETTA HILL","C","DEM",5127,5127,"AL","01",NA,NA,NA,NA
"H4AL01123","BYRNE, BRADLEY ROBERTS","I","REP",1463187.12,343761.59,"AL","01",NA,NA,NA,NA
"H4AL01149","FINCHER, CHAD","C","REP",0,0,"AL","01",NA,NA,NA,NA
"H6AL02167","MATHIS, NATHAN","C","DEM",0,0,"AL","02",NA,NA,NA,NA
"H8AL02163","WILLIAMS, AUDRI SCOTT 1955","C","DEM",35365.02,33165.02,"AL","02",NA,NA,NA,NA
"H8AL02197","ISNER, TABITHA KAY","C","DEM",524941.35,501490.57,"AL","02",NA,NA,NA,NA
"H0AL02087","ROBY, MARTHA","I","REP",2573681.12,799289.56,"AL","02",NA,NA,NA,NA
"H8AL02080","LOVE, JAY K","O","REP",0,0,"AL","02",NA,NA,NA,NA
"H8AL02171","MOORE, FELIX BARRY","C","REP",154582.44,78382,"AL","02",NA,NA,NA,NA
"H8AL02189","AMASON, THOMAS MARRION III","C","REP",15380.59,8366.4,"AL","02",NA,NA,NA,NA
"H8AL02205","HOBSON, RICH","C","REP",76307.05,75807.05,"AL","02",NA,NA,NA,NA
"H8AL02213","BRIGHT, BOBBY NEAL SR.","C","REP",420688.08,110208.08,"AL","02",NA,NA,NA,NA
"H8AL03039","TURNHAM, JOSEPH R","C","DEM",0,0,"AL","03",NA,NA,NA,NA
"H8AL03054","HAGAN, MALLORY","C","DEM",467514.71,409309.26,"AL","03",NA,NA,NA,NA
"H8AL03062","WINFREY, ADIA MCCLELLAN DR","C","DEM",14535.25,9614,"AL","03",NA,NA,NA,NA
"H2AL03032","ROGERS, MICHAEL","I","REP",1350417.37,530372,"AL","03",NA,NA,NA,NA
"H8AL04086","NEIGHBORS, RICKY ALLEN","C","DEM",21088.35,20588.35,"AL","04",NA,NA,NA,NA
"H8AL04094","AUMAN, JAMES LEE","C","DEM",70425.87,61160.87,"AL","04",NA,NA,NA,NA
"H6AL04098","ADERHOLT, ROBERT B. REP.","I","REP",1550530.91,468336.48,"AL","04",NA,NA,NA,NA
"H8AL04060","NORRIS, PHILLIP","C","REP",100,0,"AL","04",NA,NA,NA,NA
"H8AL04102","BLACKMON, ANTHONY MR","C","REP",5648,0,"AL","04",NA,NA,NA,NA
"H0AL05049","CRAMER, ROBERT E ""BUD"" JR",NA,"DEM",18231,0,"AL","05",NA,NA,NA,NA
"H6AL05038","FLIPPO, RONNIE GENE","C","DEM",-7933,0,"AL","05",NA,NA,NA,NA
"H6AL05202","BOYD, WILLIE ""WILL"" DR. JR.","C","DEM",1023,238,"AL","05",NA,NA,NA,NA
