"Candidate identification","Candidate name","Incumbent challenger status","Party affiliation","Total receipts","Total individual contributions","Candidate state","Candidate district","Special election status","Primary election status","Runoff election status","General election status"
"H2AK00101","MOORE, MATTHEW EDWARD","C","DEM",60679.5,19521.5,"AK","00",NA,NA,NA,NA
"H4AK00057","VONDERSAAR, FRANK J","C","DEM",500,0,"AK","00",NA,NA,NA,NA
"H4AK00123","DUNBAR, FORREST","C","DEM",237456.58,233131.98,"AK","00",NA,NA,NA,NA
"H0AK00097","COX, JOHN R.","C","REP",0,0,"AK","00",NA,NA,NA,NA
"H6AK00045","YOUNG, DONALD E","I","REP",788960.16,461857.82,"AK","00",NA,NA,NA,NA
"H8AK00116","LEDOUX, GABRIELLE R","C","REP",0,0,"AK","00",NA,NA,NA,NA
"H2AK00143","MCDERMOTT, JIM C","C","LIB",7877,140,"AK","00",NA,NA,NA,NA
"H4AL01156","LEFLORE, BURTON R","C","DEM",36974.05,33474,"AL","01",NA,"W",NA,NA
"H2AL01077","BONNER, JOSIAH ROBINS JR.","I","REP",87681.86,37650,"AL","01",NA,NA,NA,NA
"H2AL01176","YOUNG, LARRY DEAN JR","O","REP",284899.73,109700.54,"AL","01",NA,NA,NA,NA
"H4AL01115","HILLYER, RICHARD QUIN EDMONSON","C","REP",295006.95,227536.97,"AL","01",NA,NA,NA,NA
"H4AL01123","BYRNE, BRADLEY ROBERTS","I","REP",1907597.44,914507.3,"AL","01","W","W",NA,NA
"H4AL01131","JAMES, JESSICA","C","REP",10113,10113,"AL","01",NA,NA,NA,NA
"H4AL01149","FINCHER, CHAD","C","REP",214519.18,145370.62,"AL","01",NA,NA,NA,NA
"H4AL01172","GRIFFITH, PRESTON WELLS III","C","REP",209780.99,196780.99,"AL","01",NA,NA,NA,NA
"H4AL01180","POWE, SHARON L","O","REP",5450,5450,"AL","01",NA,NA,NA,NA
"H2AL01192","RAILEY, CURTIS MONROE","C","IND",0,0,"AL","01",NA,NA,NA,NA
"H0AL02087","ROBY, MARTHA","I","REP",1098795.1,454019.64,"AL","02",NA,"W",NA,NA
"H2AL02067","EVERETT, TERRY","C","REP",0,0,"AL","02",NA,NA,NA,NA
"H8AL02080","LOVE, JAY K","O","REP",1510.46,0,"AL","02",NA,NA,NA,NA
"H4AL02071","WRIGHT, ERICK","C","IND",6674,6674,"AL","02",NA,"W",NA,NA
"H2AL03099","HARRIS, JOHN ANDREW","C","DEM",0,0,"AL","03",NA,NA,NA,NA
"H4AL03061","SMITH, JESSE TREMAIN","C","DEM",9000,2100,"AL","03",NA,"W",NA,NA
"H8AL03039","TURNHAM, JOSEPH R","C","DEM",0,0,"AL","03",NA,NA,NA,NA
