"Candidate identification","Candidate name","Incumbent challenger status","Party affiliation","Total receipts","Total individual contributions","Candidate state","Candidate district","Special election status","Primary election status","Runoff election status","General election status"
"H0AK00089","CRAWFORD, HARRY T JR","C","DEM",1449.12,210,"AK","00",NA,NA,NA,NA
"H2AK00093","URQUIDI, DOUGLAS C","C","DEM",3208.82,573.34,"AK","00",NA,NA,NA,NA
"H2AK00101","MOORE, MATTHEW EDWARD","C","DEM",43184.98,5130,"AK","00",NA,NA,NA,NA
"H2AK00119","CISSNA, SHARON MARIE","C","DEM",19660,13818,"AK","00",NA,"W",NA,"L"
"H2AK00127","CHESNUT, DEBRA SUE","C","DEM",16694,8994,"AK","00",NA,NA,NA,NA
"H4AK00057","VONDERSAAR, FRANK J","C","DEM",1109,9,"AK","00",NA,NA,NA,NA
"H6AK00144","BENSON, DIANE E MS","C","DEM",1099.9,-50,"AK","00",NA,NA,NA,NA
"H0AK00097","COX, JOHN ROBERT","C","REP",1502,1102,"AK","00",NA,NA,NA,NA
"H6AK00045","YOUNG, DONALD E","I","REP",1003531.63,624494.86,"AK","00",NA,"W",NA,"W"
"H8AK00116","LEDOUX, GABRIELLE R","C","REP",0,164187.89,"AK","00",NA,NA,NA,NA
"H0AL01030","GOUNARES, PETER HUNTER","C","REP",15075,10545,"AL","01",NA,NA,NA,NA
"H2AL01077","BONNER, JOSIAH ROBIAS","I","REP",1140566.63,564463,"AL","01",NA,"W",NA,"W"
"H2AL01085","PRINGLE, CHRIS","C","REP",0,0,"AL","01",NA,NA,NA,NA
"H2AL01176","YOUNG, LARRY DEAN JR","C","REP",238644.85,44802,"AL","01",NA,NA,NA,NA
"H2AL01184","RIEHM, PETER (PETE) J A","C","REP",39833.9,34833.9,"AL","01",NA,NA,NA,NA
"H2AL01192","RAILEY, CURTIS MONROE","C","IND",18015,8015,"AL","01",NA,NA,NA,NA
"H8AL02130","BRIGHT SR, BOBBY NEAL","C","DEM",6615.83,0,"AL","02",NA,NA,NA,NA
"H0AL02087","ROBY, MARTHA","I","REP",1035717.36,480059.23,"AL","02",NA,"W",NA,"W"
"H2AL02067","EVERETT, TERRY","C","REP",16024.92,0,"AL","02",NA,NA,NA,NA
"H8AL02080","LOVE, JAY K","O","REP",46500,43500,"AL","02",NA,NA,NA,NA
"H8AL02106","SMITH, HARRI ANNE","O","REP",0,0,"AL","02",NA,NA,NA,NA
"H2AL03099","HARRIS, JOHN ANDREW","C","DEM",3884,1744,"AL","03",NA,"W",NA,"L"
"H8AL03039","TURNHAM, JOSEPH R","C","DEM",0,0,"AL","03",NA,NA,NA,NA
"H8AL03047","SEGALL, JOSHUA STEVEN","C","DEM",0,0,"AL","03",NA,NA,NA,NA
"H2AL03032","ROGERS, MICHAEL DENNIS","I","REP",1069891.19,474560.95,"AL","03",NA,"W",NA,"W"
"H2AL04055","BOMAN, DANIEL HEATH","C","DEM",13561,2400,"AL","04",NA,"W",NA,"L"
"H6AL04098","ADERHOLT, ROBERT BROWN","I","REP",1247169.37,534734.58,"AL","04",NA,"W",NA,"W"
"H0AL05049","CRAMER, ROBERT E ""BUD"" JR",NA,"DEM",35133.44,0,"AL","05",NA,NA,NA,NA
"H0AL05189","SHEPARD, TAZEWELL","C","DEM",676.85,0,"AL","05",NA,NA,NA,NA
"H0AL05197","RABY, STEPHEN WALKER","C","DEM",9922.85,3000,"AL","05",NA,NA,NA,NA
"H2AL05094","HOLLEY, CHARLIE LEE","C","DEM",56141.98,33555.03,"AL","05",NA,"W",NA,"L"
"H6AL05038","FLIPPO, RONNIE GENE","C","DEM",-26456,0,"AL","05",NA,NA,NA,NA
"H0AL05155","PHILLIP, LESTER S","C","REP",14020.88,14020.88,"AL","05",NA,NA,NA,NA
"H0AL05163","BROOKS, MO","I","REP",904753.18,426014.35,"AL","05",NA,"W",NA,"W"
"H8AL05109","GRIFFITH, R PARKER","C","REP",597459.56,20366,"AL","05",NA,NA,NA,NA
"H2AL06142","BAILEY, PENNY HUGGINS","C","DEM",50326,22236,"AL","06",NA,"W",NA,"L"
"H0AL06088","COOKE, STANLEY KYLE","C","REP",0,0,"AL","06",NA,NA,NA,NA
"H2AL06035","BACHUS, SPENCER T III","I","REP",2725003.77,1128152.4,"AL","06",NA,"W",NA,"W"
"H2AL06100","STANDRIDGE, JACK DAVID","C","REP",40298.87,32298.87,"AL","06",NA,NA,NA,NA
"H2AL06126","BEASON, SCOTT","C","REP",152595,150395,"AL","06",NA,NA,NA,NA
"H0AL07060","DAVIS, ARTUR GENESTRE","C","DEM",0,0,"AL","07",NA,NA,NA,NA
"H0AL07086","SEWELL, TERRYCINA ANDREA","I","DEM",1205399.57,504236.47,"AL","07",NA,"W",NA,"W"
"H0AL07094","HILLIARD, EARL FREDERICK JR","O","DEM",0,0,"AL","07",NA,NA,NA,NA
"H0AL07177","CHAMBERLAIN, DON","C","REP",23071.03,4009,"AL","07",NA,"W",NA,"L"
"H0AL07185","SALTER, CHRIS","O","REP",0,0,"AL","07",NA,NA,NA,NA
"H2AL07165","NORRIS, PHILLIP DWIGHT","C","REP",5966,410,"AL","07",NA,NA,NA,NA
"H0AR01109","CAUSEY, CHAD","O","DEM",42780,28999,"AR","01",NA,NA,NA,NA
"H0AR01117","WOOLRIDGE, TYMOTHE (TIM) LYNN","O","DEM",0,0,"AR","01",NA,NA,NA,NA
"H0AR01133","COOK, DAVID RAY","O","DEM",0,0,"AR","01",NA,NA,NA,NA
"H0AR01141","BRYLES, STEVE MARK","O","DEM",0,0,"AR","01",NA,NA,NA,NA
"H2AR01055","HALL, CLARK MADISON","C","DEM",414291.49,264849.09,"AR","01",NA,NA,NA,NA
