,year,pollster_rating_id,lower_error_diff,mean_bias,count,valid
0,2002,3.0,1.2251192974698828,1.5425000000000004,4,False
1,2002,9.0,-1.4125167236630949,-0.02083333333333348,12,True
2,2002,15.0,-inf,-3.719999999999999,1,False
3,2002,26.0,-inf,9.729999999999997,1,False
4,2002,27.0,0.012056637290311478,1.5050000000000026,2,False
5,2002,32.0,-2.105195451138052,-6.583636363636365,11,True
6,2002,35.0,-6.970067975726829,-5.949999999999997,3,False
7,2002,36.0,-2.470960526058605,-3.9585714285714295,7,False
8,2002,41.0,-inf,-9.86,1,False
9,2002,44.0,-inf,-3.0700000000000003,1,False
10,2002,51.0,1.6077465600286887,-2.391428571428573,7,False
11,2002,57.0,-3.7896234690477164,1.4750000000000014,4,False
12,2002,59.0,-inf,1.8900000000000008,1,False
13,2002,76.0,-inf,0.5599999999999952,1,False
14,2002,77.0,-10.246669585297608,-1.413333333333334,3,False
15,2002,80.0,-inf,-4.990000000000002,1,False
16,2002,83.0,-inf,3.019999999999996,1,False
17,2002,84.0,-1.0956600425003953,-4.595714285714284,7,False
18,2002,87.0,-0.4633171305102963,2.210000000000001,3,False
19,2002,89.0,-2.0030140519977913,-0.5866666666666683,3,False
20,2002,91.0,1.1377965794668292,2.633333333333333,3,False
21,2002,92.0,-inf,3.25,1,False
22,2002,94.0,-1.9110955051962528,-5.0133333333333345,6,False
23,2002,96.0,-0.08510865834247672,0.7649999999999988,4,False
24,2002,99.0,-inf,2.1499999999999986,1,False
25,2002,100.0,-41.887348745633936,11.005000000000003,2,False
26,2002,104.0,-11.369559148307694,-6.103333333333332,3,False
27,2002,107.0,-22.861890623421548,10.145,2,False
28,2002,113.0,-7.99116789992873,6.606666666666669,3,False
29,2002,114.0,-1.4023615651553565,-0.8399999999999986,3,False
30,2002,121.0,-8.186478107957187,2.1000000000000014,2,False
31,2002,123.0,-16.418521714091412,-6.359999999999999,2,False
32,2002,130.0,1.1698226055967207,0.5433333333333342,3,False
33,2002,133.0,-1.1780273319038306,-2.2828099173553715,121,True
34,2002,140.0,-9.81794272266192,-8.035,2,False
35,2002,147.0,-inf,-19.089999999999996,1,False
36,2002,148.0,-21.26635392067228,5.305000000000003,2,False
37,2002,159.0,-inf,4.739999999999995,1,False
38,2002,160.0,-2.8464598823594183,-0.7062500000000016,8,False
39,2002,168.0,-inf,-1.6500000000000057,1,False
40,2002,170.0,-3.69835700186428,-4.129999999999999,2,False
41,2002,172.0,-0.3292517234149508,-3.3912500000000003,8,False
42,2002,173.0,5.1026642315516755,0.8599999999999994,2,False
43,2002,174.0,2.855675059879249,0.11500000000000199,2,False
44,2002,179.0,-inf,0.1299999999999954,1,False
45,2002,181.0,-28.23378758600914,-8.189999999999998,2,False
46,2002,183.0,-3.319211558444583,-8.310000000000002,6,False
47,2002,184.0,-4.54677585810548,-5.6200000000000045,2,False
48,2002,186.0,-inf,11.060000000000002,1,False
49,2002,187.0,-7.632284062028149,-7.287272727272727,11,True
50,2002,188.0,-inf,-3.719999999999999,1,False
51,2002,193.0,-11.788785791456952,-10.369999999999997,2,False
52,2002,194.0,-4.912458602755088,-6.477500000000001,4,False
53,2002,197.0,-0.12626131511216626,-2.057047619047619,105,True
54,2002,199.0,-33.21632088319987,-23.97000000000001,2,False
55,2002,203.0,-4.431320800287047,-2.9200000000000017,2,False
56,2002,210.0,-14.825828840049008,-15.329999999999998,4,False
57,2002,213.0,-0.7352229516584554,-4.2783333333333315,6,False
58,2002,215.0,-2.8957096539149516,-0.6900000000000006,5,False
59,2002,216.0,0.811328884083343,4.874999999999998,4,False
60,2002,217.0,-2.3820661224052917,-1.1733333333333344,3,False
61,2002,220.0,-inf,5.869999999999997,1,False
62,2002,223.0,-inf,6.269999999999996,1,False
63,2002,226.0,-inf,-17.090000000000003,1,False
64,2002,233.0,-inf,-7.030000000000001,1,False
65,2002,236.0,-inf,-3.6700000000000017,1,False
66,2002,242.0,-2.636269563764243,1.7550000000000026,2,False
67,2002,248.0,-inf,-3.3200000000000003,1,False
68,2002,249.0,-19.823940279053318,-5.1200000000000045,2,False
69,2002,256.0,-inf,-2.3200000000000003,1,False
70,2002,258.0,-8.089762020017869,-11.620000000000005,2,False
71,2002,260.0,-6.685313963251851,-9.3675,4,False
72,2002,267.0,-1.8715590604138592,-4.996500000000001,20,True
73,2002,272.0,-1.676794322051174,-2.307000000000003,10,True
74,2002,273.0,-inf,-3.6700000000000017,1,False
75,2002,277.0,-0.8719483109709767,-3.7522222222222226,90,True
76,2002,280.0,-4.769539158179043,-1.9999999999999964,2,False
77,2002,281.0,-0.6309060882266855,1.3068,25,True
78,2002,287.0,-7.2608389583085176,-9.7875,4,False
79,2002,288.0,-1.3053372091231297,4.163333333333334,3,False
80,2002,292.0,-inf,3.859999999999999,1,False
81,2002,295.0,-0.25251241541707614,1.7999999999999996,3,False
82,2002,303.0,-7.644538708752617,-5.530000000000001,3,False
83,2002,304.0,-15.672074624350712,-4.060000000000002,2,False
84,2002,309.0,-inf,-0.3300000000000054,1,False
85,2002,310.0,-inf,-15.36,1,False
86,2002,311.0,-5.132943892968582,0.8799999999999955,2,False
87,2002,312.0,-1.3420968844149843,2.025000000000002,2,False
88,2002,313.0,-7.01059082607913,-0.7899999999999991,3,False
89,2002,315.0,-11.011337607358126,5.525000000000002,2,False
90,2002,319.0,-inf,2.8799999999999955,1,False
91,2002,325.0,-0.8459768742375209,-2.65702380952381,84,True
92,2002,328.0,-9.370692561416478,7.875,2,False
93,2002,329.0,-6.894187802128199,-9.133333333333338,3,False
