state,district,office_type,Electoral Dynamics,Voter ID Laws,Voter Registration Laws,Mail-in Voting,Misceallaneous Voting Laws,Polls from this race,Demographics,Campaign Finance,Consumer Confidence Index,Gas Prices,Unemployment,Polls from other races,Expert Rating,Composition of Congress/Presidency,Type of election,Other
AL,1,House,-29.21898372147662,-0.38196517711614286,-0.519808682015637,0.018385389867310236,-0.4200738030627912,-1.5424315615239033,-1.206732529883364,-10.249893900072308,0.08022431393239551,0.19328658942971721,0.2308417194822499,-0.06761228888582352,-1.8256298558745965,-0.2354707436061589,-3.7660122965300844,0.29433399172693475
AL,2,House,-29.908148310659094,-0.23663822116164357,-0.31242790055344244,0.02297789303740323,-0.174493761738722,-1.0323331708948809,-1.1142415923492328,-0.0697211778664496,-0.03223869214896044,0.10337010572364938,0.21251634636593125,0.01198448522121636,-1.3207388322756728,-0.2594925791964058,-3.8957888480393357,0.40553532083772204
AL,3,House,-39.09300953838547,-0.20109998866594594,-0.22908878912526234,0.03007636856508178,-0.3760641421599152,-1.358906456540235,-0.8845873980886274,-6.949826020104849,-0.002423630496761973,0.2996555388212111,0.18620942386791275,0.057747108863453925,-2.1208854172627665,-0.22038747337751077,-5.416943785490181,0.3344077263564606
AL,4,House,-46.861221566620316,-0.24940187802606198,-0.3151999987427085,0.10927734799653606,-0.7374061945000678,-1.949093234214236,-2.7638538802696786,-7.814275447868062,0.14734470816442524,0.25111446633983536,0.019512606728757133,-0.025498082033347892,-2.2548650396312486,-0.1355946724378175,-7.861495084211285,0.25833767636498606
AL,5,House,-33.99222741028386,-0.13856272807063472,-0.23185410226327605,0.10904101919192213,-0.22513980839956627,-1.4441812938738807,-0.7727400690860441,-6.446391586122708,0.09764940675626921,0.2883304729690458,0.3716177646586104,-0.01642502300979485,-2.0593702879253666,-0.23292070885196015,-5.173302861752419,0.4859955703642602
AL,6,House,-30.620348294471036,-0.10743356536524568,-0.22371277142505464,0.13628287382441057,-0.1178914893753864,-1.2487696418069103,0.6736636929320348,-9.151001189117414,0.03486200106942603,0.5132607791507575,0.22879947130579498,-0.06987162668241202,-1.781643252836579,-0.26202801970829603,-3.907650106362343,0.2518550398404859
AL,7,House,17.716006953358015,-0.06446381054355357,-0.1258964936596763,-0.0060669886727615085,-0.26858773834989974,2.0361760929552335,-1.879003252451809,11.518673873867206,0.09527296201648784,0.006345560116292365,0.47809045063159106,-0.09063293527524452,0.4854870864800863,-0.17344433648541843,3.7101531239835825,0.8107672226672501
AK,1,House,-8.084703769017487,-0.023799447484154444,0.18169326410579165,-0.012979575532961918,-0.16106076734319716,-2.4213494067859984,0.6254251568118028,15.500219593263024,0.4589486342109693,-0.02418734548196673,0.313948573624154,-0.11623234337060988,-0.23820040897901928,-0.25383957821365566,-0.18259935641647285,-0.006190133049147881
AZ,1,House,-8.056202755316278,-0.3024723628479015,-0.13421577348565417,-0.028658766050212288,0.10764177705620476,0.230741393466055,0.7376300968488931,14.1417815002083,0.33829609495226715,-0.053848085033903176,0.7881901931500908,-0.2843610702135438,-0.24817813916925532,-0.30597004862681476,-1.4919466654849105,0.060542892385941655
AZ,2,House,-17.11768238217833,-0.20046535865510376,-0.0070667942835881655,-0.02705303691214816,0.15090604295886345,-1.4311027838741213,-0.2628706589864615,-7.503745327453612,0.7137662292871817,0.4024474062055537,0.3667263772657438,-0.03847658645653361,-1.2561002983236293,-0.16635685701612343,-2.2979009580012284,0.05981808011211183
