year,office_type,state,district,weighted_estimate,weighted_ci_lower,weighted_ci_upper,unweighted_estimate,unweighted_ci_lower,unweighted_ci_upper,num_polls
2002,Governor,AK,0,-5.62827789498054,-13.301571121343402,2.045015331382322,-6.5,-32.83265653138703,19.83265653138703,2.0
2002,Governor,AL,0,-1.885519550633987,-7.311357225027968,3.5403181237599943,-2.75,-11.12312367041118,5.62312367041118,4.0
2002,Governor,AR,0,-8.007010777851725,-12.437188687663255,-3.576832868040195,-9.0,-17.93897533277724,-0.061024667222758566,6.0
2002,Governor,AZ,0,4.642327452934684,1.0251023366720302,8.25955256919734,3.7777777777777777,-9.651361352403939,17.206916907959496,9.0
2002,Governor,CA,0,7.750779462573315,3.6492317081014507,11.852327217045179,6.785714285714286,-1.0104129579881924,14.581841529416764,7.0
2002,Governor,CO,0,-32.12171519085396,-35.55331624394117,-28.690114137766756,-33.0,-44.164164893881576,-21.835835106118427,10.0
2002,Governor,CT,0,-15.169255702917313,-22.842548929280177,-7.4959624765544515,-16.0,-18.771858582251266,-13.228141417748734,2.0
2002,Governor,FL,0,-5.214834947971393,-8.115067178518904,-2.3146027174238806,-6.071428571428571,-14.716793714760486,2.573936571903344,14.0
2002,Governor,GA,0,10.87899123759967,3.2056980112368088,18.552284463962533,10.0,7.228141417748734,12.771858582251266,2.0
2002,Governor,HI,0,-0.7968389023009933,-7.06205658608215,5.468378781480164,-1.6666666666666667,-5.746732025620287,2.413398692286953,3.0
2002,Governor,IA,0,14.039480449371377,8.613642774977396,19.465318123765357,13.175,11.225645576949471,15.12435442305053,4.0
2002,Governor,ID,0,-6.9661393397196845,-17.817814688507646,3.885536009068278,-8.0,,,1.0
2002,Governor,IL,0,11.539721390636767,8.530008167964185,14.54943461330935,10.66923076923077,0.8485469557632719,20.48991458269827,13.0
2002,Governor,KS,0,12.271182901746332,7.418166151816607,17.124199651676058,11.4,0.8815362338409898,21.91846376615901,5.0
2002,Governor,MA,0,1.7466226566562455,-2.0900239565251857,5.583269269837676,0.8125,-4.629746778675146,6.254746778675146,8.0
2002,Governor,MD,0,-0.47925364714835267,-4.580801401620217,3.622294107323512,-1.4285714285714286,-5.790344768242654,2.933201911099796,7.0
2002,Governor,ME,0,16.143266234120368,8.469973007757506,23.81655946048323,15.5,0.2547777976180363,30.745222202381964,2.0
2002,Governor,MI,0,12.073920310071815,8.642319256984607,15.505521363159023,11.2,5.989692267565506,16.410307732434493,10.0
2002,Governor,MN,0,-2.274469594866411,-6.376017349338276,1.8270781596054535,-3.142857142857143,-6.9683854288153935,0.6826711431011074,7.0
2002,Governor,NE,0,-49.13430296886726,-59.985978317655224,-38.282627620079296,-50.0,,,1.0
2002,Governor,NH,0,-14.68189007065566,-18.299115186918314,-11.064664954393006,-15.666666666666666,-28.481829560676246,-2.851503772657086,9.0
2002,Governor,NM,0,16.864403288738274,9.191110062375412,24.537696515101135,16.0,10.456282835497468,21.54371716450253,2.0
2002,Governor,NV,0,-38.635664002192975,-46.30895722855584,-30.962370775830113,-39.5,-51.9733636201307,-27.026636379869302,2.0
2002,Governor,NY,0,-16.37168320767982,-20.208329820861252,-12.535036594498388,-17.375,-22.392589062488078,-12.35741093751192,8.0
2002,Governor,OH,0,-13.911238344436727,-18.01278609890859,-9.809690589964863,-14.814285714285715,-23.06991845805527,-6.55865297051616,7.0
2002,Governor,OK,0,1.197813791450573,-5.067403892330583,7.46303147523173,0.3333333333333333,-8.929265294121777,9.595931960788445,3.0
2002,Governor,OR,0,6.211614330006197,-0.05360335377496028,12.476832013787353,5.333333333333333,3.0701202781099997,7.596546388556666,3.0
2002,Governor,PA,0,18.97619747016015,14.546019560348622,23.40637537997168,18.166666666666668,16.239610189376325,20.09372314395701,6.0
2002,Governor,RI,0,1.3124284660902557,-3.5405882838394698,6.1654452160199815,0.4,-8.321449420824498,9.121449420824499,5.0
2002,Governor,SC,0,1.6983357322170403,-2.7318421775944906,6.128513642028571,0.8333333333333334,-9.344836770701413,11.01150343736808,6.0
2002,Governor,SD,0,-12.556690693141705,-18.821908376922863,-6.291473009360549,-13.333333333333334,-25.14765232908308,-1.5190143375835863,3.0
2002,Governor,TN,0,4.264785646890182,-0.5882311030395435,9.117802396819908,3.4,-3.041217276260754,9.841217276260753,5.0
2002,Governor,TX,0,-12.106740421254298,-15.00697265180181,-9.206508190706785,-12.928571428571429,-21.539687678914532,-4.3174551782283235,14.0
2002,Governor,VT,0,9.634837177722236,1.9615439513593742,17.308130404085098,8.5,4.342212126623101,12.657787873376899,2.0
2002,Governor,WI,0,6.557984818010158,1.704968068080432,11.411001567939884,5.6,-0.9886326350768719,12.188632635076871,5.0
2002,Governor,WY,0,-7.135519550647687,-17.98719489943565,3.7161557981402753,-8.0,,,1.0
2002,House,AR,4,15.634443149273691,7.961149922910829,23.30773637563655,15.5,14.114070708874367,16.885929291125635,2.0
2002,House,AZ,1,-11.85611827664829,-19.529411503011154,-4.1828250502854285,-12.0,-12.0,-12.0,2.0
