,state,district,office_type,poll_id,pollster_rating_id,pollster,question_id,methodology,sample_size,population,partisan,days_before_election,pred_margin,actual_margin,bias,error,year
0,Nebraska,0,Senate,32945,391.0,YouGov,39543,Online Panel,721.0,lv,NO,39.0,-27.0,-32.85153524559672,5.851535245596722,5.851535245596722,
1,Nebraska,0,Senate,33777,391.0,YouGov,40963,Online Panel,681.0,lv,NO,15.0,-29.0,-32.85153524559672,3.851535245596722,3.851535245596722,
2,Michigan,0,Senate,33068,263.0,Public Policy Polling,126637,IVR/Online Panel,687.0,lv,NO,59.0,7.0,13.285311446611558,-6.2853114466115585,6.2853114466115585,
3,Michigan,0,Senate,33061,323.0,Suffolk University,39666,Live Phone,500.0,lv,NO,57.0,8.800000000000004,13.285311446611558,-4.485311446611554,4.485311446611554,
4,Michigan,0,Senate,33037,582.0,Denno Research,39642,Live Phone,600.0,lv,NO,53.0,7.0,13.285311446611558,-6.2853114466115585,6.2853114466115585,
5,Michigan,0,Senate,33031,213.0,Mitchell Research & Communications,39636,IVR,829.0,lv,NO,51.0,2.0,13.285311446611558,-11.285311446611558,11.285311446611558,
6,Michigan,0,Senate,33027,179.0,Magellan Strategies,39632,IVR,717.0,lv,NO,51.0,5.0,13.285311446611558,-8.285311446611558,8.285311446611558,
7,Michigan,0,Senate,33010,277.0,Rasmussen Reports,39613,IVR/Online Panel,750.0,lv,NO,48.0,2.0,13.285311446611558,-11.285311446611558,11.285311446611558,
8,Michigan,0,Senate,33007,263.0,Public Policy Polling,39610,IVR,852.0,lv,D,47.0,7.0,13.285311446611558,-6.2853114466115585,6.2853114466115585,
9,Michigan,0,Senate,33008,376.0,We Ask America,39611,IVR,1182.0,lv,NO,47.0,3.0,13.285311446611558,-10.285311446611558,10.285311446611558,
10,Michigan,0,Senate,32985,330.0,Target Insyght,39586,IVR,600.0,lv,NO,41.0,10.0,13.285311446611558,-3.2853114466115585,3.2853114466115585,
11,Michigan,0,Senate,34497,396.0,ccAdvertising,126703,,679.0,lv,NO,38.0,-1.0,13.285311446611558,-14.285311446611558,14.285311446611558,
12,Michigan,0,Senate,32972,213.0,Mitchell Research & Communications,39571,IVR,1178.0,lv,NO,36.0,13.0,13.285311446611558,-0.2853114466115585,0.2853114466115585,
13,Michigan,0,Senate,34143,84.0,EPIC-MRA,42212,Live Phone,600.0,lv,NO,38.0,9.0,13.285311446611558,-4.2853114466115585,4.2853114466115585,
14,Michigan,0,Senate,32969,165.0,Lake Research Partners,39568,Live Phone,600.0,lv,D,37.0,9.0,13.285311446611558,-4.2853114466115585,4.2853114466115585,
15,Michigan,0,Senate,33690,193.0,Marketing Resource Group (MRG),40873,Live Phone,600.0,lv,NO,35.0,11.0,13.285311446611558,-2.2853114466115585,2.2853114466115585,
16,Michigan,0,Senate,32950,391.0,YouGov,39548,Online Panel,2560.0,lv,NO,39.0,5.0,13.285311446611558,-8.285311446611558,8.285311446611558,
17,Michigan,0,Senate,33687,263.0,Public Policy Polling,40870,IVR,654.0,lv,D,33.0,7.0,13.285311446611558,-6.2853114466115585,6.2853114466115585,
18,Michigan,0,Senate,33694,117.0,Glengariff Group,40877,Live Phone,600.0,lv,NO,32.0,9.0,13.285311446611558,-4.2853114466115585,4.2853114466115585,
19,Michigan,0,Senate,33729,55.0,Clout Research,40913,IVR,615.0,lv,NO,29.0,2.6000000000000014,13.285311446611558,-10.685311446611557,10.685311446611557,
20,Michigan,0,Senate,33714,213.0,Mitchell Research & Communications,40898,IVR,1306.0,lv,NO,26.0,5.0,13.285311446611558,-8.285311446611558,8.285311446611558,
21,Michigan,0,Senate,34460,213.0,Mitchell Research & Communications,42213,IVR,1340.0,lv,NO,23.0,11.0,13.285311446611558,-2.2853114466115585,2.2853114466115585,
22,Michigan,0,Senate,34394,52.0,Clarity Campaign Labs,42163,IVR/Live Phone,957.0,lv,D,22.0,13.0,13.285311446611558,-0.2853114466115585,0.2853114466115585,
23,Michigan,0,Senate,33812,213.0,Mitchell Research & Communications,41000,IVR,919.0,lv,NO,16.0,13.600000000000001,13.285311446611558,0.3146885533884429,0.3146885533884429,
24,Michigan,0,Senate,33792,84.0,EPIC-MRA,40978,Live Phone,600.0,lv,NO,17.0,11.0,13.285311446611558,-2.2853114466115585,2.2853114466115585,
25,Michigan,0,Senate,33832,52.0,Clarity Campaign Labs,41021,IVR/Live Phone,1032.0,lv,D,16.0,15.0,13.285311446611558,1.7146885533884415,1.7146885533884415,
26,Michigan,0,Senate,33819,263.0,Public Policy Polling,41008,IVR,723.0,lv,D,15.0,14.0,13.285311446611558,0.7146885533884415,0.7146885533884415,
27,Michigan,0,Senate,33830,277.0,Rasmussen Reports,41019,IVR/Online Panel,1000.0,lv,NO,14.0,9.0,13.285311446611558,-4.2853114466115585,4.2853114466115585,
28,Michigan,0,Senate,33786,391.0,YouGov,40972,Online Panel,2394.0,lv,NO,15.0,8.0,13.285311446611558,-5.2853114466115585,5.2853114466115585,
29,Michigan,0,Senate,33989,117.0,Glengariff Group,42156,Live Phone,600.0,lv,NO,12.0,15.100000000000001,13.285311446611558,1.814688553388443,1.814688553388443,
30,Michigan,0,Senate,34372,213.0,Mitchell Research & Communications,42185,IVR,1159.0,lv,NO,8.0,14.100000000000001,13.285311446611558,0.8146885533884429,0.8146885533884429,
