poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,party,answer,candidate_id,candidate_name,pct,ind,num_polls
87498.0,1562.0,Redfield & Wilton Strategies,1473,The Telegraph,Redfield & Wilton Strategies,562.0,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9.0,NV,7/16/24,7/18/24,,,,,,,203602.0,412.0,lv,,lv,,7/21/24 11:02,,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-16-18-july-2024/,,,,9521.0,2024.0,U.S. Senate,0.0,Class I,11/5/24,general,False,False,,DEM,Rosen,31010.0,Jacky Rosen,41.0,,10.0
87498.0,1562.0,Redfield & Wilton Strategies,1473,The Telegraph,Redfield & Wilton Strategies,562.0,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9.0,NV,7/16/24,7/18/24,,,,,,,203602.0,412.0,lv,,lv,,7/21/24 11:02,,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-16-18-july-2024/,,,,9521.0,2024.0,U.S. Senate,0.0,Class I,11/5/24,general,False,False,,REP,Brown,31105.0,Sam Brown,37.0,,10.0
87498.0,1562.0,Redfield & Wilton Strategies,1473,The Telegraph,Redfield & Wilton Strategies,562.0,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9.0,NV,7/16/24,7/18/24,,,,,,,203602.0,412.0,lv,,lv,,7/21/24 11:02,,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-16-18-july-2024/,,,,9521.0,2024.0,U.S. Senate,0.0,Class I,11/5/24,general,False,False,,LIB,Cunningham,33569.0,Chris Cunningham,2.0,,10.0
87498.0,1562.0,Redfield & Wilton Strategies,1473,The Telegraph,Redfield & Wilton Strategies,562.0,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9.0,NV,7/16/24,7/18/24,,,,,,,203602.0,412.0,lv,,lv,,7/21/24 11:02,,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-16-18-july-2024/,,,,9521.0,2024.0,U.S. Senate,0.0,Class I,11/5/24,general,False,False,,IAP,Hansen,37099.0,Janine Hansen,2.0,,10.0
87499.0,1562.0,Redfield & Wilton Strategies,1473,The Telegraph,Redfield & Wilton Strategies,562.0,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9.0,PA,7/16/24,7/18/24,,,,,,,203603.0,688.0,lv,,lv,,7/21/24 11:05,,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-16-18-july-2024/,,,,9527.0,2024.0,U.S. Senate,0.0,Class I,11/5/24,general,False,False,,DEM,Casey,30990.0,Robert P. Casey Jr.,44.0,,19.0
87499.0,1562.0,Redfield & Wilton Strategies,1473,The Telegraph,Redfield & Wilton Strategies,562.0,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9.0,PA,7/16/24,7/18/24,,,,,,,203603.0,688.0,lv,,lv,,7/21/24 11:05,,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-16-18-july-2024/,,,,9527.0,2024.0,U.S. Senate,0.0,Class I,11/5/24,general,False,False,,REP,McCormick,30991.0,David McCormick,37.0,,19.0
87499.0,1562.0,Redfield & Wilton Strategies,1473,The Telegraph,Redfield & Wilton Strategies,562.0,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9.0,PA,7/16/24,7/18/24,,,,,,,203603.0,688.0,lv,,lv,,7/21/24 11:05,,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-16-18-july-2024/,,,,9527.0,2024.0,U.S. Senate,0.0,Class I,11/5/24,general,False,False,,LIB,Thomas,37102.0,John C. Thomas,1.0,,19.0
87499.0,1562.0,Redfield & Wilton Strategies,1473,The Telegraph,Redfield & Wilton Strategies,562.0,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9.0,PA,7/16/24,7/18/24,,,,,,,203603.0,688.0,lv,,lv,,7/21/24 11:05,,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-16-18-july-2024/,,,,9527.0,2024.0,U.S. Senate,0.0,Class I,11/5/24,general,False,False,,CON,Selker,37103.0,Marty Selker,1.0,,19.0
87499.0,1562.0,Redfield & Wilton Strategies,1473,The Telegraph,Redfield & Wilton Strategies,562.0,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9.0,PA,7/16/24,7/18/24,,,,,,,203603.0,688.0,lv,,lv,,7/21/24 11:05,,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-16-18-july-2024/,,,,9527.0,2024.0,U.S. Senate,0.0,Class I,11/5/24,general,False,False,,GRE,Hazou,37104.0,Leila Hazou,1.0,,19.0
87501.0,1741.0,ActiVote,,,ActiVote,721.0,ActiVote,,,App Panel,8.0,TX,6/25/24,7/18/24,,,,,,,203605.0,400.0,lv,,lv,,7/21/24 11:05,,https://www.activote.net/cruz-and-trump-lead-comfortably-in-texas/,,False,,9530.0,2024.0,U.S. Senate,0.0,Class I,11/5/24,general,False,False,,DEM,Allred,31007.0,Colin Allred,46.1,,4.0
