"","pollster_rating_id","pollster","pct_right","average_bias","average_error","dispersion","num_polls","year"
"1",304,"Selzer & Co.",-2.0931657268128,-0.98124972176784,0.814369070560962,-1.20320909179654,-0.411808015948737,2000
"2",233,"North Star Opinion Research/Ayres, McHenry & Associates",-0.664452517608692,-0.5418310463178,0.0784939527575235,0.0383752804643967,-0.411808015948737,2000
"3",172,"Los Angeles Times",0.764260691595418,-0.313630526458479,-0.303663415183876,-1.08994174555519,-0.221742777818551,2000
"4",197,"Mason-Dixon Polling & Strategy",0.324656627224923,-0.0195008760852402,-0.203304378307673,-0.133223051778366,4.43485555637101,2000
"5",112,"Gallup",-1.14069025401006,1.30287827235894,-0.383649841032076,-0.0947380537935988,-0.221742777818551,2000
"6",272,"RKM Research and Communications Inc.",0.764260691595418,-0.211869015567724,-0.474078939143791,-0.615090178620308,-0.126710158753457,2000
"7",160,"KRC Research",0.192775407913774,1.01014476827894,-0.147601010973389,0.282335718522686,-0.0316775396883643,2000
"8",36,"CBS News/The New York Times",-0.664452517608692,-0.113875466749064,-0.128404268769821,-0.507710622171925,-0.0316775396883643,2000
"9",395,"Zogby Interactive/JZ Analytics",-0.291744723903272,-0.472471009644683,0.486076957514437,0.0535674880158158,1.67890960348331,2000
"10",390,"Yankelovich Partners Inc.",-0.664452517608692,0.719109500625795,-1.55856156293563,-0.765387234209791,-0.411808015948737,2000
"11",221,"NBC News/The Wall Street Journal",-2.0931657268128,1.19673849568019,-0.758697304453635,-0.948357562753508,-0.411808015948737,2000
"12",267,"Quinnipiac University",0.764260691595418,-0.604718863999961,0.465095011023822,1.41949374781225,0.253420317506915,2000
"13",325,"SurveyUSA",0.407082389294391,0.376609708755541,-0.9180036026013,0.15380931993869,1.01368127002766,2000
"14",3,"ABC News/The Washington Post",-1.52168044313116,0.887553326214977,-0.709105720427752,-0.575882251075226,-0.0316775396883643,2000
"15",213,"Mitchell Research & Communications",0.764260691595418,-0.629396362077771,0.225135733479223,1.99877165771851,-0.411808015948737,2000
"16",183,"Marist College",0.764260691595418,-0.646909425229765,0.254464089623562,-1.06274702139935,-0.316775396883644,2000
"17",181,"Manhattanville College",0.764260691595418,-0.726514257738831,0.387774799370562,0.38741824487247,-0.316775396883644,2000
"18",94,"Field Research Corp. (Field Poll)",0.764260691595418,-0.443121054006558,-0.0868113273287568,-0.223010903169485,-0.221742777818551,2000
"19",346,"University of Cincinnati (Ohio Poll)",0.764260691595418,-1.20387790335153,1.18719468882007,1.09636697612535,0.0633550793767288,2000
"20",256,"Potomac Incorporated",0.764260691595418,0.208046475917596,-1.17729293305921,0.953226923182984,-0.411808015948737,2000
"21",57,"Columbus Dispatch",0.764260691595418,1.79457078782327,0.242466125746333,2.55266142779983,-0.316775396883644,2000
"22",32,"Blum & Weprin Associates",0.192775407913774,-1.00513117152056,0.854362283485062,-0.353703994986426,-0.0316775396883643,2000
"23",217,"Moore Information",0.764260691595418,-0.433568474105471,-0.102808612498396,-1.26855563770501,-0.411808015948737,2000
"24",361,"University of South Alabama",0.764260691595418,0.478702906448417,-1.52923320679129,-0.83291199831521,-0.316775396883644,2000
"25",104,"Fox News/Opinion Dynamics Corp.",0.764260691595418,-0.872987149555511,0.633066505305042,1.97916769394597,-0.411808015948737,2000
"26",358,"University of New Orleans",0.764260691595418,1.31614574444378,-0.558731239833136,1.99877165771851,-0.411808015948737,2000
"27",253,"Pew Research Center",-1.14069025401006,1.03752883066206,-0.294776034534076,-0.0318117503261826,-0.221742777818551,2000
"28",297,"SSRS",-2.0931657268128,1.51515782571645,-0.225454465465636,-0.399446577122356,-0.411808015948737,2000
"29",96,"Fleming & Associates",0.764260691595418,1.3655007405994,-0.476078599789996,-0.593307996650818,-0.316775396883644,2000
"30",133,"Harris Insights & Analytics",0.466612106344562,-0.291507016757001,0.439932614559077,0.090289480825015,4.05472508011064,2000
